"_Vind,_kias","_Vind,_keas","Vtrue,_ktas","Vtrue,_ktgs","_Vind,__mph","Vtrue,mphas","Vtrue,mphgs","____X,____m","____Y,____m","____Z,____m","___vX,__m/s","___vY,__m/s","___vZ,__m/s","_dist,___ft","_dist,___nm",A,B,C
98.07063,93.93785,94.74538,80.46861,112.85767,109.03104,92.60587,-23175.82227,134.00829,4925.69092,1.66413,-0.35782,-41.36352,8790.80762,1.44678,0.00000,14.77350,14.79266
93.58849,88.69373,89.45604,75.55584,107.69971,102.94418,86.95256,-23176.32031,134.02263,4887.39111,-2.75039,0.41320,-38.77164,8916.54199,1.46747,0.00000,14.77350,14.79157
88.44231,82.95235,83.66947,70.23490,101.77760,96.28512,80.93849,-23181.15234,135.10069,4851.95264,-6.96020,1.91814,-35.45514,9033.96289,1.48680,0.00000,14.77350,14.79047
82.78683,77.70768,78.38588,65.09701,95.26939,90.20486,74.97202,-23188.27930,136.77954,4819.55029,-7.42096,1.33507,-32.65631,9142.81152,1.50471,0.00000,14.77350,14.78936
77.57670,72.17898,72.81606,59.00130,89.27367,83.79523,68.24178,-23194.61719,138.84650,4789.71387,-5.42090,3.06335,-29.86461,9242.89355,1.52118,0.00000,14.77350,14.78826
72.30099,67.73741,68.34293,54.11036,83.20249,78.64764,62.32885,-23198.00000,141.12358,4762.29688,-1.56122,1.23501,-27.79229,9333.58594,1.53611,0.36471,14.77350,14.78685
68.25317,65.79090,66.37798,51.66271,78.54435,76.38641,59.71531,-23197.68750,140.72525,4737.81006,1.73856,-2.47626,-26.52311,9413.98438,1.54934,0.36471,14.77350,14.78544
66.32659,65.86363,66.43922,51.05101,76.32728,76.45689,59.96434,-23195.42578,136.90099,4715.41162,3.71337,-5.33815,-26.00579,9487.86523,1.56150,0.36471,14.77350,14.78403
65.84978,65.69841,66.25874,50.99180,75.77857,76.24920,59.80571,-23191.46289,132.61719,4693.33496,5.07386,-5.12480,-25.74454,9561.46387,1.57361,0.36471,14.77350,14.78262
65.77669,66.46037,67.01020,51.23993,75.69447,77.11397,61.09890,-23187.35742,127.34293,4671.27197,4.20663,-7.11979,-26.03168,9635.09277,1.58573,0.33333,14.77350,14.78262
66.31488,66.94825,67.48225,52.32525,76.31380,77.65718,62.01813,-23185.04297,121.27959,4648.64307,1.03462,-6.61372,-26.90429,9709.77051,1.59802,0.33333,14.77350,14.78126
66.63063,66.38911,66.90292,52.86915,76.67716,76.99052,61.73603,-23185.65430,116.47056,4625.49805,-2.13895,-4.67123,-27.11605,9785.77734,1.61053,0.25490,14.77350,14.77989
65.88181,64.67927,65.17021,51.77583,75.81543,74.99654,59.82018,-23188.06836,113.47021,4602.56494,-2.87161,-2.37255,-26.48132,9861.43945,1.62298,0.25490,14.77350,14.77863
63.82845,62.16624,62.63377,49.06694,73.45247,72.07766,56.52090,-23189.67383,112.07413,4579.16260,-0.43163,-1.10465,-25.23925,9938.42383,1.63565,0.25490,14.77350,14.77736
62.01828,60.22997,60.67990,46.86432,71.36936,69.82918,54.02354,-23188.92578,111.04289,4558.14600,1.94381,-1.39257,-24.03202,10007.44629,1.64701,0.25490,14.77350,14.77608
60.37562,58.62115,59.05524,45.13832,69.47903,67.95956,52.08097,-23186.58398,109.72162,4538.08691,3.38815,-1.65720,-22.97473,10073.71582,1.65792,0.25490,14.77350,14.77480
58.75887,57.16399,57.58304,43.62977,67.61851,66.26538,50.38031,-23183.17188,108.20984,4518.89795,4.52787,-1.82780,-21.98633,10137.66895,1.66845,0.25490,14.77350,14.77480
57.30511,55.79391,56.19899,42.29189,65.94555,64.67265,48.82491,-23179.40820,106.78848,4501.54053,4.57834,-1.71325,-21.27223,10195.94043,1.67804,0.25490,14.77350,14.77351
55.87765,54.57701,54.96941,41.11896,64.30286,63.25766,47.52621,-23176.19922,105.35116,4484.61133,3.27860,-1.95588,-20.90030,10252.47852,1.68734,0.25490,14.77220,14.77351
54.80201,53.95499,54.33788,40.46190,63.06503,62.53092,47.01896,-23174.11719,103.42146,4467.89258,2.02758,-2.89918,-20.71948,10307.76172,1.69644,0.25490,14.77091,14.77351
54.06657,53.54200,53.91533,40.15662,62.21870,62.04465,46.76476,-23172.92969,100.87711,4451.26758,0.90628,-3.18881,-20.64120,10362.45215,1.70544,0.23922,14.76963,14.77351
53.45120,52.88103,53.24346,39.80811,61.51055,61.27148,46.27208,-23172.80078,98.44372,4434.73193,-0.59747,-2.90289,-20.47205,10416.71680,1.71437,0.21961,14.76963,14.77351
52.82390,52.11625,52.46755,39.39698,60.78866,60.37859,45.80321,-23174.03320,96.12098,4418.39941,-2.39122,-2.90804,-20.12676,10470.47266,1.72322,0.09412,14.76836,14.77351
51.79312,51.23672,51.57626,38.73825,59.60246,59.35290,45.06688,-23176.41211,93.76727,4402.41113,-3.27923,-2.95425,-19.65728,10523.51074,1.73195,0.09020,14.76719,14.77351
50.20457,50.54151,50.87041,37.98066,57.77439,58.54062,44.31369,-23179.00977,91.29586,4386.77588,-3.09812,-3.26382,-19.29209,10575.51172,1.74051,0.23529,14.76589,14.77351
49.47750,50.68368,51.00644,37.96811,56.93769,58.69716,44.56734,-23181.40625,88.40171,4371.28223,-2.90361,-3.92459,-19.31600,10626.94727,1.74897,0.23529,14.76459,14.77351
49.44175,46.96714,47.26130,34.44289,56.89655,54.38733,39.63635,-23183.11719,86.32549,4357.03711,-0.51465,-0.04159,-17.71151,10674.06641,1.75673,0.21961,14.76459,14.77351
47.42555,45.49915,45.78351,32.68553,54.57635,52.68673,37.61763,-23182.63672,86.06492,4342.28418,1.63862,-0.22146,-16.73509,10722.52539,1.76470,0.00000,14.76331,14.77351
45.58256,44.10646,44.38175,31.15364,52.45547,51.07361,35.85408,-23180.47656,85.91045,4330.12402,4.04330,-0.18572,-15.50873,10763.08691,1.77138,0.00000,14.76219,14.77351
